Student,Advisor
"Yin Song","Longbing Cao"
"Junfu Yin","Longbing Cao"
"Hans Bohlscheid","Longbing Cao"
"Mikhail Ageev","Eugene Agichtein"
"Finnegan Southey","Dale Schuurmans"
"Özlem Aslan","Dale Schuurmans"
"Wei Bian","Dacheng Tao"
"Yonglong Tian","Xiaogang Wang"
"Wei Li 0044","Xiaogang Wang"
"Nitish Srivastava","Ruslan Salakhutdinov"
"Geoff Hulten","Pedro M. Domingos"
"Robert Gens","Pedro M. Domingos"
"Maria-Luiza Antonie","Osmar R. Zaïane"
"Mohammad El-Hajj","Osmar R. Zaïane"
"Andrew Foss","Osmar R. Zaïane"
"Jiyang Chen","Osmar R. Zaïane"
"Alexandru Coman","Osmar R. Zaïane"
"Olivier Duchenne","Jean Ponce"
"Kenton McHenry","Jean Ponce"
"Xiao Cai","Heng Huang"
"De Wang","Heng Huang"
"Xin Wang 0013","Fei Wang 0001"
"Naiyan Wang","Dit-Yan Yeung"
"Jaety Edwards","David A. Forsyth"
"Ryan White","David A. Forsyth"
"Nicolas Loeff","David A. Forsyth"
"Jan Prins","Wei Wang 0010"
"Zhiming Ma","Tie-Yan Liu"
"Taifeng Wang","Tie-Yan Liu"
"Michael D. Grossberg","Shree K. Nayar"
"Toniann Pitassi","Richard S. Zemel"
"Richard Glassey","Leif Azzopardi"
"Kaustav Das","Jeff G. Schneider"
"Brent Bryan","Jeff G. Schneider"
"Arjun Dasgupta","Gautam Das"
"Saravanan Thirumuruganathan","Gautam Das"
"Mingyang Zhang","Gautam Das"
"Huaifeng Zhang","Chengqi Zhang"
"Guoji Zhang","Carlotta Domeniconi"
"Guo-Xian Yu","Carlotta Domeniconi"
"Ya-Zhou Ren","Carlotta Domeniconi"
"Ning Kang","Carlotta Domeniconi"
"Jan Gasthaus","Yee Whye Teh"
"Balaji Lakshminarayanan","Yee Whye Teh"
"Vincent Rabaud","Serge J. Belongie"
"Carolina Galleguillos","Serge J. Belongie"
"Boris Babenko","Serge J. Belongie"
"Alex Conconi","Nicolò Cesa-Bianchi"
"Luca Zaniboni","Nicolò Cesa-Bianchi"
"Chia-Tung Kuo","Ian Davidson"
"Le Wu","Enhong Chen"
"Biao Xiang","Enhong Chen"
"Xin Zhang 0002","Elke A. Rundensteiner"
"Matthew O. Ward","Elke A. Rundensteiner"
"Kajal T. Claypool","Elke A. Rundensteiner"
"Lei Cao","Elke A. Rundensteiner"
"Di Yang","Elke A. Rundensteiner"
"Andreas Koeller","Elke A. Rundensteiner"
"Amy J. Lee","Elke A. Rundensteiner"
"Lin Zhong","Dimitris N. Metaxas"
"Bin Yang 0002","Christian S. Jensen"
"Giedrius Slivinskas","Christian S. Jensen"
"Tak-Lam Wong","Wai Lam"
"Yiqiu Han","Wai Lam"
"Shing-Kit Chan","Wai Lam"
"Ruizhang Huang","Wai Lam"
"Lidong Bing","Wai Lam"
"Kwok-Yin Lai","Wai Lam"
"Christoph Sawade","Tobias Scheffer"
"Michael Brückner","Tobias Scheffer"
"Michael Großhans","Tobias Scheffer"
"Nilesh Bansal","Nick Koudas"
"Zhe Hu","Ming-Hsuan Yang"
"Xiang Ruan","Ming-Hsuan Yang"
"Sungjin Ahn","Max Welling"
"Levi Boyles","Max Welling"
"Ian Porteous","Max Welling"
