Name,Cooperator,Support,Confidence,Weight
"Ahmed K. Elmagarmid","Walid G. Aref",11,0.3055555555555556,0.3297558459590404
"Arno J. Knobbe","Wouter Duivesteijn",6,0.3157894736842105,0.3289896320861113
"Jaap Kamps","Marijn Koolen",14,0.2978723404255319,0.3286727100299672
"Raquel Urtasun","Sanja Fidler",15,0.29411764705882354,0.3271180430635756
"Zheng Chen","Ning Liu",21,0.28,0.3262005544066529
"Jinbo Bi","R. Bharat Rao",8,0.3076923076923077,0.3252925188948421
"Peng Zhang","Xingquan Zhu",10,0.30303030303030304,0.32503056703347105
"Dit-Yan Yeung","Yu Zhang 0006",13,0.29545454545454547,0.32405488865866394
"Amit K. Agrawal","Ashok Veeraraghavan",5,0.3125,0.323500132001584
"Brendan J. Frey","Nebojsa Jojic",11,0.2972972972972973,0.3214975877007822
"Bart Goethals","Toon Calders",9,0.3,0.3198002376028512
"Albert Bifet","Geoff Holmes",7,0.30434782608695654,0.31974801088917415
"Philip M. Long","Rocco A. Servedio",12,0.2926829268292683,0.31908324363306995
"Kai Yu","Shipeng Yu",13,0.28888888888888886,0.31748923209300733
"Haixun Wang","Philip S. Yu",19,0.2753623188405797,0.317162820446599
"Alan J. Demers","Nitin Gupta 0003",4,0.3076923076923077,0.3164924132935749
"Prateek Jain 0002","Inderjit S. Dhillon",10,0.29411764705882354,0.31611791106199155
"Wei-Ying Ma","Zheng Chen",16,0.2807017543859649,0.3159021767910338
"Hal Daumé III","Piyush Rai",8,0.2962962962962963,0.3138965074988307
"Koby Crammer","Yoram Singer",11,0.2894736842105263,0.31367397461401114
"Dunja Mladenic","Nenad Tomasev",6,0.3,0.3132001584019008
"Christian S. Jensen","Richard T. Snodgrass",12,0.2857142857142857,0.31211460251808737
"Volker Tresp","Shipeng Yu",13,0.2826086956521739,0.31120903885629236
"Yong Yu","Qiang Yang 0001",15,0.2777777777777778,0.31077817378252987
"Alok N. Choudhary","Wei-keng Liao",9,0.2903225806451613,0.3101228182480125
"Chris H. Q. Ding","Tao Li",23,0.25842696629213485,0.30902757349942134
"James Bailey","Jeffrey Chan",10,0.2857142857142857,0.3077145497174537
"Surajit Chaudhuri","Vivek R. Narasayya",17,0.2698412698412698,0.3072417186466555
"Gareth J. F. Jones","Johannes Leveling",7,0.2916666666666667,0.3070668514688843
"Adam Jatowt","Zoltán Gyöngyi",3,0.3,0.3066000792009504
"Pang-Ning Tan","Vipin Kumar",11,0.28205128205128205,0.30625157245476686
"Gautam Das","Nan Zhang 0004",12,0.27906976744186046,0.30547008424566213
"Andrew Blake 0001","Antonio Criminisi",5,0.29411764705882354,0.30511777906040755
"Daphna Weinshall","Tomer Hertz",8,0.2857142857142857,0.3033144969168201
"Dong Xu","Lixin Duan",9,0.28125,0.3010502376028512
"Tao Li","Chris H. Q. Ding",23,0.25,0.3006006072072865
"Carlos Ordonez","Carlos Garcia-Alvarado",10,0.2777777777777778,0.2997780417809458
"Bernt Schiele","Mykhaylo Andriluka",11,0.275,0.29920029040348484
